x_pos,y_pos,p_flag,volts,weights
-929.16,300.57,1,4.7359,9
104.45,103.36,0,1.83537,8
646.26,555.39,0,2.34475,10
690.38,-715.24,0,2.95826,10
-682.75,763.49,1,3.88598,6
-768.76,-890.73,0,2.88702,10
172.51,-337.43,0,2.52171,10
-815.56,835.99,0,2.4902,10
-780.59,723.83,1,4.77783,10
-979.51,-619.61,0,2.81967,10
-909.85,971.61,1,3.68205,5
795.62,-299.67,1,4.77783,10
-558.89,736.91,0,2.86698,10
-579.13,-932.36,0,2.74769,10
811.66,478.99,1,4.77783,10
-678.89,-240.81,1,4.77783,10
-485.26,-770.08,0,2.76967,10
-56.92,524.82,1,4.77783,10
380.8,-526.55,1,4.46989,8
-775.86,-490.21,1,3.71051,5
-651.35,184.08,1,4.77783,10
888.38,793.68,1,4.13778,7
635.81,-77.69,0,2.57431,10
585.14,-377.01,1,3.23249,3
296.6,187.53,1,4.77783,10
-347.28,653.32,1,4.48671,8
828.74,88.68,1,4.02224,7
-859.53,-805.2,1,4.77783,10
-534.4,-799.82,1,3.92874,6
482.14,-116.91,0,2.8102,10
-272.53,-484.82,0,2.48749,10
-11.66,969.93,1,3.80651,6
-992.39,985.14,0,2.48499,10
-691.19,-441.77,1,4.77783,10
-17.33,774.62,1,3.40554,4
-673.86,934.55,1,4.13254,7
643.73,306.79,0,2.47067,10
-803.5,282.16,1,3.99585,6
-754.07,741.49,1,3.78582,6
-139.24,-287.88,0,2.2462,9
-403.21,-672.91,0,1.80604,8
184.71,-637.26,1,4.72523,9
926.61,555.04,0,1.92367,8
-930.81,665.46,1,4.77783,10
257.24,-234.01,1,4.02681,7
-548.71,57.62,0,2.42285,10
917.17,763,1,4.77783,10
-472.83,335.56,1,4.77783,10
-669.96,201.51,0,2.38947,10
-356.78,82.41,1,4.77783,10
-943.44,789.96,0,1.91308,8
-138.91,72.53,0,2.16861,9
236.32,-446.84,1,4.20207,7
391.99,557.52,0,1.86079,8
-543.28,-241.99,0,2.66842,10
-538.94,-588.36,0,2.05758,9
190.72,845.19,1,3.75065,6
845.92,-271.05,1,4.77783,10
662.38,494.85,0,2.34559,10
697.13,409.72,1,3.91544,6
574.37,-86.66,0,2.81634,10
893.5,-700.68,1,4.61973,9
626.05,-826.61,0,2.29994,10
790.53,-689.16,0,1.86501,8
31.05,759.27,0,2.70984,10
113.96,-376.95,1,4.03905,7
212.55,-766.12,0,2.35363,10
-140.08,-894.88,1,3.39426,4
97.08,-761,0,2.04118,9
290.58,-926.82,1,4.32217,8
-202.88,686.6,1,3.68678,5
-467.63,-431.66,1,3.50807,5
763.72,361.43,0,2.19647,9
511.2,727.89,1,3.95439,6
719.5,-126.39,0,2.0125,9
-120.21,-763.11,1,4.77783,10
-993.49,-864.28,1,4.39997,8
-152.22,-851.25,1,3.33218,4
-7.98,-472.02,0,2.57179,10
-591.86,524.63,1,3.8376,6
-712.77,64.93,1,4.77783,10
658.09,-175.59,0,2.2841,10
-439.55,-28.2,0,2.03257,9
-343.18,988.41,1,3.64333,5
-501.22,15.9,1,4.21021,7
-321.63,-380.1,1,4.77783,10
-767.95,150.07,1,3.22301,3
831.89,394.71,1,3.77418,6
135.83,595.15,0,1.80778,8
415.54,-75.37,1,4.75026,10
245.21,158.51,0,2.06669,9
138.1,-750.05,1,4.71782,9
454.54,793.96,0,2.85391,10
938.53,224.72,0,2.85152,10
412.55,-210.24,1,4.45532,8
872.12,-751.46,0,2.73542,10
531.07,-423.17,0,1.90624,8
-764.55,-234.05,0,2.26293,10
693.02,293.45,0,1.99998,8
-341.82,426.01,1,4.73612,9
-377.84,-357.08,0,2.83032,10
-585.4,784.63,0,2.46319,10
17.24,-214.61,1,4.77783,10
-602.78,-633.32,1,3.71256,5
393.61,187.69,1,3.79203,6
-519.39,-310.26,1,3.59416,5
799.67,908.35,0,2.23772,9
-396.95,-781.94,0,2.23997,9
677.43,903.18,0,1.90053,8
984.63,-718.14,0,2.62997,10
295.83,77.14,0,2.05616,9
86.44,-411.22,1,3.88007,6
650.5,123.29,0,2.20591,9
-230.16,-742.63,1,4.62394,9
772.52,454.17,0,2.60755,10
-798.3,-129.01,1,3.82675,6
829.34,-731.84,0,2.04275,9
692.58,84.01,0,1.83135,8
876.52,101.52,0,2.37652,10
-719.9,-593.38,1,3.9389,6
957.54,-588.73,0,2.19182,9
295.2,273.35,0,2.92463,10
11.68,435.57,1,4.77783,10
-268.5,-858.41,1,4.59192,9
556.33,-531.21,0,2.36645,10
-284.65,-316.65,0,2.79316,10
-528.36,-26.78,0,1.85246,8
823.35,-953.84,1,4.72176,9
492.74,360.63,0,2.91728,10
261.56,804.45,1,3.79055,6
-402.92,112.23,0,2.60499,10
638.94,792.05,0,2.26678,10
679.18,302.06,0,2.42531,10
-158.69,695.84,1,4.77783,10
-550.09,-487.59,1,3.79518,6
-317.57,504.98,0,2.49384,10
759.39,35.58,1,4.77783,10
623.55,222.73,1,3.29121,4
286.49,891.32,1,4.70545,9
-401.01,773.88,1,4.25856,8
64.64,-317.6,0,2.57858,10
